instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C5,2,3,depot,1,nearest,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,depot,1,grasp,5409.1351686715225,178.70332450498915,503.0431844166534,2.0,1.0,0.0
c101C5,2,3,phased,2,edd,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,sweep,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,nearest,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,grasp,5409.1351686715225,178.70332450498915,503.0431844166534,2.0,1.0,0.0
c101C5,2,3,all,3,edd,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,sweep,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,nearest,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,grasp,4906.37019095504,175.81506340864075,453.05551275463995,2.0,1.0,0.0
c101C5,3,4,depot,1,edd,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,depot,1,sweep,2005903.4860405365,193.48604053645403,551.0,2.0,0.0,2.0
c101C5,3,4,depot,1,nearest,2005903.4860405365,193.48604053645403,551.0,2.0,0.0,2.0
c101C5,3,4,depot,1,grasp,12276.541969160884,254.86105556362827,1182.1680913597256,2.0,2.0,0.0
c101C5,3,4,phased,3,edd,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,phased,3,sweep,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,phased,3,nearest,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,phased,3,grasp,10449.545098746155,208.98997119975738,1004.05551275464,2.0,2.0,0.0
c101C5,3,4,all,3,edd,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,all,3,sweep,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,all,3,nearest,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,all,3,grasp,10449.545098746155,208.98997119975738,1004.05551275464,2.0,2.0,0.0
c101C5,4,5,depot,1,edd,1000451.8395758047,251.83957580467964,0.0,2.0,1.0,1.0
c101C5,4,5,depot,1,sweep,3005916.4365157867,206.43651578671387,551.0,2.0,0.0,3.0
c101C5,4,5,depot,1,nearest,3002030.5746423015,206.43651578671387,162.41381265149107,2.0,0.0,3.0
c101C5,4,5,depot,1,grasp,1000445.3148421628,245.31484216278636,0.0,2.0,1.0,1.0
c101C5,4,5,phased,3,edd,1000451.8395758047,251.83957580467964,0.0,2.0,1.0,1.0
c101C5,4,5,phased,3,sweep,1010255.352906282,213.12159050406265,984.2231315777824,2.0,1.0,1.0
