instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c103C15,3,12,all,5,nearest,4706.54729257811,460.9587724663112,374.55885201117985,5.0,1.0,0.0
c103C15,3,12,all,5,grasp,1063.831304529932,563.8313045299318,0.0,5.0,3.0,0.0
c103C15,4,15,phased,5,edd,1382.7914226391447,682.7914226391447,0.0,7.0,3.0,0.0
c103C15,4,15,phased,5,sweep,6876.114744762095,457.12090668388373,581.8993838078211,6.0,0.0,0.0
c103C15,4,15,phased,5,nearest,7183.9221502169985,516.5668238763553,606.7355326340643,6.0,1.0,0.0
c103C15,4,15,phased,5,grasp,1188.2772458743907,588.2772458743906,0.0,6.0,3.0,0.0
c103C15,4,15,all,5,edd,1382.7914226391447,682.7914226391447,0.0,7.0,3.0,0.0
c103C15,4,15,all,5,sweep,6876.114744762095,457.12090668388373,581.8993838078211,6.0,0.0,0.0
c103C15,4,15,all,5,nearest,7183.9221502169985,516.5668238763553,606.7355326340643,6.0,1.0,0.0
c103C15,4,15,all,5,grasp,1208.8482312405345,608.8482312405345,0.0,6.0,3.0,0.0
r102C10,1,3,phased,2,edd,232.68420350483726,92.53548401121779,4.014871949361947,1.0,0.0,0.0
r102C10,1,3,phased,2,sweep,170.3094367643223,70.3094367643223,0.0,1.0,0.0,0.0
r102C10,1,3,phased,2,nearest,175.36956749217043,75.36956749217043,0.0,1.0,0.0,0.0
r102C10,1,3,phased,2,grasp,170.3094367643223,70.3094367643223,0.0,1.0,0.0,0.0
r102C10,1,3,all,4,edd,232.68420350483726,92.53548401121779,4.014871949361947,1.0,0.0,0.0
r102C10,1,3,all,4,sweep,170.3094367643223,70.3094367643223,0.0,1.0,0.0,0.0
r102C10,1,3,all,4,nearest,175.36956749217043,75.36956749217043,0.0,1.0,0.0,0.0
r102C10,1,3,all,4,grasp,170.3094367643223,70.3094367643223,0.0,1.0,0.0,0.0
r102C10,2,5,phased,3,edd,418.93877914536404,218.93877914536404,0.0,2.0,1.0,0.0
r102C10,2,5,phased,3,sweep,530.1473110714473,230.14731107144735,0.0,3.0,0.0,0.0
r102C10,2,5,phased,3,nearest,835.1375835648371,200.3774901478044,43.476009341703275,2.0,1.0,0.0
r102C10,2,5,phased,3,grasp,401.85514811206826,201.85514811206826,0.0,2.0,1.0,0.0
r102C10,2,5,all,4,edd,418.93877914536404,218.93877914536404,0.0,2.0,1.0,0.0
r102C10,2,5,all,4,sweep,530.1473110714473,230.14731107144735,0.0,3.0,0.0,0.0
r102C10,2,5,all,4,nearest,835.1375835648371,200.3774901478044,43.476009341703275,2.0,1.0,0.0
r102C10,2,5,all,4,grasp,401.85514811206826,201.85514811206826,0.0,2.0,1.0,0.0
r102C10,3,8,phased,4,edd,2151.794422649083,335.41103651126684,151.63833861378163,3.0,2.0,0.0
r102C10,3,8,phased,4,sweep,1624.589656212766,310.4956579983733,91.40939982143925,4.0,0.0,0.0
